study_word,test,reference,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
apple,,,0,0,0,7,,,,,13.2219613,13.2219613,1.045714286,2.4474376,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
book,,,0,1,1,2,,,,,15.6889485,15.6889485,1.045714286,0.9268828,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
cushion,,,0,2,2,3,,,,,16.6381814,16.6381814,1.045714286,0.8616818,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
vase,,,0,3,3,0,,,,,17.521556,17.521556,1.045714286,0.6770173,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
dog,,,0,4,4,9,,,,,18.2213981,18.2213981,1.045714286,0.6765727,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
history,,,0,5,5,6,,,,,18.921849,18.921849,1.045714286,1.758676,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
tiger,,,0,6,6,1,,,,,20.6893888,20.6893888,1.045714286,0.8629726,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
piano,,,0,7,7,4,,,,,21.5726316,21.5726316,1.045714286,0.9127037,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
cat,,,0,8,8,8,,,,,22.5058785,22.5058785,1.045714286,0.8465587,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
laptop,,,0,9,9,5,,,,,23.3725672,23.3725672,1.045714286,0.829297,,,,,,,,,,,,,sanjana,1,2023-10-05_15h59.45.669,workprimingtask,2023.1.3,60.03572126
